id,title,5th,10th,first_positive_5,second_view_1,third_rating_people_5,first_positive_5_1,second_view_1_1,third_rating_people_5_1,first_positive_5_episode,second_view_1_episode,third_rating_people_5_episode,positive,view,rating_people,positive_1,view_1,rating_people_1,positive_episode,view_episode,rating_people_episode,comment_writer_count,comment_writer,pos_keyword_1,pos_keyword_2,pos_keyword_3,neg_keyword_1,neg_keyword_2,neg_keyword_3,label,first_positive_5_story,second_view_1_story,third_rating_people_5_story,positive_story,view_story,rating_people_story,first_positive_5_omnibus,second_view_1_omnibus,third_rating_people_5_omnibus,positive_omnibus,view_omnibus,rating_people_omnibus
8330,김모군의 일기,0.5474539169241605,0.5723357783596578,83.0,5701,981.45,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,219.0,5701,1441.15,84.30379746835443,123234.87658227848,10578.842784810126,57.42307692307692,69250.7703962704,7738.134545454546,1020,(zzzz****),붐업,붐업입니다,쵝오,사랑하는,사람이,the,2,,,,,,,,,,,,
8330,김모군의 일기,0.5474539169241605,0.5723357783596578,83.0,5701,981.45,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,142.0,3855,965.52,54.86392405063291,96116.10759493672,9658.456487341771,37.45571095571096,57358.25874125874,6988.803624708625,1020,(zzzz****),붐업,붐업입니다,쵝오,사랑하는,사람이,the,2,,,,,,,,,,,,
8330,김모군의 일기,0.5474539169241605,0.5723357783596578,83.0,5701,981.45,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,89.0,3223,929.45,50.813291139240505,80195.39240506329,9311.98018987342,35.62937062937063,50639.46153846154,6635.007855477856,1020,(zzzz****),붐업,붐업입니다,쵝오,사랑하는,사람이,the,2,,,,,,,,,,,,
8330,김모군의 일기,0.5474539169241605,0.5723357783596578,83.0,5701,981.45,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,121.0,2740,1205.54,55.18037974683544,71927.29113924051,9014.11743670886,34.71911421911422,46447.094405594406,6365.26282051282,1020,(zzzz****),붐업,붐업입니다,쵝오,사랑하는,사람이,the,2,,,,,,,,,,,,
8330,김모군의 일기,0.5474539169241605,0.5723357783596578,83.0,5701,981.45,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,83.0,2372,981.45,56.32911392405063,68165.51582278482,8794.260886075948,36.438228438228435,43800.34731934732,6269.397622377623,1020,(zzzz****),붐업,붐업입니다,쵝오,사랑하는,사람이,the,2,,,,,,,,,,,,
8331,내맴툰,0.5636037341479542,0.547454641665959,155.0,554,663.85,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,229.0,554,884.54,84.30379746835443,123234.87658227848,10578.842784810126,57.42307692307692,69250.7703962704,7738.134545454546,876,(zzz6****),붐업,붐베,붐베로,the,of,3,2,,,,,,,,,,,,
8331,내맴툰,0.5636037341479542,0.547454641665959,155.0,554,663.85,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,143.0,481,713.6400000000001,54.86392405063291,96116.10759493672,9658.456487341771,37.45571095571096,57358.25874125874,6988.803624708625,876,(zzz6****),붐업,붐베,붐베로,the,of,3,2,,,,,,,,,,,,
8331,내맴툰,0.5636037341479542,0.547454641665959,155.0,554,663.85,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,147.0,402,792.9599999999999,50.813291139240505,80195.39240506329,9311.98018987342,35.62937062937063,50639.46153846154,6635.007855477856,876,(zzz6****),붐업,붐베,붐베로,the,of,3,2,,,,,,,,,,,,
8331,내맴툰,0.5636037341479542,0.547454641665959,155.0,554,663.85,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,92.0,365,658.08,55.18037974683544,71927.29113924051,9014.11743670886,34.71911421911422,46447.094405594406,6365.26282051282,876,(zzz6****),붐업,붐베,붐베로,the,of,3,2,,,,,,,,,,,,
8331,내맴툰,0.5636037341479542,0.547454641665959,155.0,554,663.85,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,155.0,400,663.85,56.32911392405063,68165.51582278482,8794.260886075948,36.438228438228435,43800.34731934732,6269.397622377623,876,(zzz6****),붐업,붐베,붐베로,the,of,3,2,,,,,,,,,,,,
8343,[수잉츄|CRAZY CRAYON],0.539912404149392,0.5469958618122653,39.0,671,1492.64,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,143.0,671,1837.42,84.30379746835443,123234.87658227848,10578.842784810126,57.42307692307692,69250.7703962704,7738.134545454546,276,(zmff****),정주행,붐업,시작,역주행완료,ㅁ,시험기간중뭐하는거래니,2,,,,,,,,,,,,
8343,[수잉츄|CRAZY CRAYON],0.539912404149392,0.5469958618122653,39.0,671,1492.64,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,50.0,403,1895.32,54.86392405063291,96116.10759493672,9658.456487341771,37.45571095571096,57358.25874125874,6988.803624708625,276,(zmff****),정주행,붐업,시작,역주행완료,ㅁ,시험기간중뭐하는거래니,2,,,,,,,,,,,,
8343,[수잉츄|CRAZY CRAYON],0.539912404149392,0.5469958618122653,39.0,671,1492.64,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,43.0,282,1916.81,50.813291139240505,80195.39240506329,9311.98018987342,35.62937062937063,50639.46153846154,6635.007855477856,276,(zmff****),정주행,붐업,시작,역주행완료,ㅁ,시험기간중뭐하는거래니,2,,,,,,,,,,,,
8343,[수잉츄|CRAZY CRAYON],0.539912404149392,0.5469958618122653,39.0,671,1492.64,56.32911392405063,123234.87658227848,8794.260886075948,36.438228438228435,69250.7703962704,6269.397622377623,32.0,221,1495.75,55.18037974683544,71927.29113924051,9014.11743670886,34.71911421911422,46447.094405594406,6365.26282051282,276,(zmff****),정주행,붐업,시작,역주행완료,ㅁ,시험기간중뭐하는거래니,2,,,,,,,,,,,,
